SceneName	Object	Interaction	Flags	Dialogue
			Progress>2	*** Barrier stone status: DEPLETED ***
		Aim_[Anomaly_Gun]#	-	Destroying M.A.G.I.S. property isn't going to help you pass this test.
		Use_[Immortal_Key]#	Progress<2	It looks like the Immortal Key can be used to issue commands to the barrier stone. However, you don't know what the commands are.
			Progress==2	@playsound Unlock
				@fade 0 1 1 0.5 0.5
				@fade 0 0 0 0 0.5
				*** Barrier stone status: DISABLED ***
				@animate Agent_Aria Yes
				Aria#Now, {Fire} your {Anomaly Gun} at the danag!
				@animate Agent_Aria Talk
				Aria#If your first shot doesn't take it out, the danag will retaliate.
				@animate Agent_Aria Talk
				Aria#You, as in you in your world, won't feel a thing. However, your projected presence here in this other world...
				@animate Agent_Aria Talk
				Aria#Well, I'll tell you more once you take down the danag.
				@select
				@set Progress 3
			Progress>2	You try to reactivate the barrier stone, but nothing happens.
	Energy_Orb	Auto	!AutoOrb	*** Energy orb detected. {Pick up} the orb to restore all Spirit Gear functions. ***
				@settrue AutoOrb
		Examine	-	These man-made balls of lightning contain both the magic power and the source code to enable various functions of a Spirit Gear.
				For authorized users, these functions include the Anomaly Gun and the Immortal Key.
				You do not have a high enough clearance level to view an energy orb's creation process.
		Pick_up	-	*** Charging... 0%... 10%... 23%... 39%... 65%... 99%... ***
				@hide Energy_Orb
				@fade 0 1 0 1 0.5
				@fade 0 0 0 0 0.5
				*** Spirit Gear functions restored. Please verify that the Anomaly Gun and the Immortal Key has been added to your inventory. ***
				@animate Agent_Aria Talk
				Aria#Looks like it worked. Just to be sure, open your {Inventory}. You should see both an Anomaly Gun and an Immortal Key.
				@animate Agent_Aria Talk
				Aria#{Select} one of them, then {Show} it to me.
				@animate Agent_Aria Talk
				Aria#The {Show} command will appear where {Talk} and {Give} were before. Your Spirit Gear will always display the most relevant action.
				@animate Agent_Aria Talk
				Aria#Honestly, I'm glad it does that. The last thing I want happening is you accidentally shooting me with your Anomaly Gun.
				@settrue M1%Inventory%Anomaly_Gun
				@settrue M1%Inventory%Immortal_Key
				@set Progress 1
	Danag	Auto	!AutoDanag	@settrue AutoDanag
		Examine	-	Paranormal entity, aswang type.
				This creature is an aswang with a sharp, piercing tongue, which it uses to drain its victim's blood.
				Danags used to be benevolent beings that helped with planting crops, but stopped doing so once they acquired a taste for human blood.
		Talk_to	-	It answers with an eerie wail.
				@animate Agent_Aria No
				Aria#Most hostile creatures would take that opportunity to land a free hit on you, you know.
		Fire_[Anomaly_Gun]#	Progress==2	@animate Agent_Aria No
				Aria#Your Anomaly Gun isn't strong enough to penetrate the barrier. {Use} your {Immortal Key} on the barrier stone to disable the shield first.
			Progress==3	@playsound ShootWeapon
				@fade 1 1 1 1 0
				@fade 0 0 0 0 0.5
				@playsound Impact
				You fire your weapon and hit the danag!
				@animate Danag Attack1
				The danag wails in agony, but then it quickly reaches out and strikes you!
				@playsound SystemDamage
				@fade 1 0 0 1 0
				@fade 0 0 0 0 0.5
				*** Connection stability: 97%. ***
				@animate Agent_Aria Yes
				Aria#Ha, that hardly scratched your projection! {Fire} your Anomaly Gun at the danag again. One more shot should do it.
				@set Progress 4
			Progress==4	@playsound ShootWeapon
				@fade 1 1 1 1 0
				@fade 0 0 0 0 0.5
				@playsound Impact
				You fire your weapon and hit the danag!
				@playsound VoidReturn
				@fade 1 1 0 1 1
				@hide Danag
				@fade 0 0 0 0 0.5
				@stopmusic
				You have successfully banished the danag!
				@animate Agent_Aria Yes
				Aria#Excellent work! You have good aim.
				@animate Agent_Aria Talk
				Aria#However, I must warn you - not all hostile creatures go down that easily. And most of them hit much harder than that danag.
				@animate Agent_Aria Talk
				Aria#If your projected presence takes too much damage, your connection here will become unstable and your Spirit Gear may initiate emergency repairs.
				@animate Agent_Aria Talk
				Aria#Worst thing that could happen is that you'll never be able to visit this world ever again, so be careful.
				@playmusic BGM1
				@animate Agent_Aria Talk
				Aria#Anyway, congratulations on completing your first mission. Why don't you go take a break?
				@animate Agent_Aria Talk
				Aria#You might need to charge your mobile device. Or maybe you have things to do in your world.
				@animate Agent_Aria Talk
				Aria#When you feel like helping us out, just check your Spirit Gear to see where your skills are needed.
				@showstill Picture_Badge
				@animate Agent_Aria Talk
				Aria#Ah, I almost forgot. Take this badge. It's proof that you're a member of the Department of M.A.G.I.S.
				@animate Agent_Aria Yes
				Aria#Take care of yourself. See you again soon!
				@hidestill Picture_Badge
				@set Progress 5
				@settrue End
		Use_[Immortal_Key]#	Progress==2	@animate Agent_Aria No
				Aria#Use it on the barrier stone, not on the danag.
			Progress>2	@animate Agent_Aria No
				Aria#The Immortal Key wasn't designed to be used as a weapon.
	-	Put_away_[Anomaly_Gun]	-	@select
	-	Put_away_[Immortal_Key]	-	@select
	-	Inventory	M1%Inventory%Anomaly_Gun | M1%Inventory%Immortal_Key	@subscene M1%Inventory
	-	Autorun	End !Global%Album%Card15	@showstill Picture_Card
				Congratulations! You've completed Module 1. You earned a [card]!
				@incr Global%Album%CardCount
				@incr Global%M1%CardCount
				@settrue Global%Album%Card15
				@card Card15
				You may view all the cards that you have collected so far in the [Album], accessible from the Map screen.
				@hidestill
				@exit
	-	Autorun	End Global%Album%Card15	@showstill Picture_Card
				Congratulations! You've completed Module 1. You earned a [card]!
				@card Card15
				@hidestill
				@exit
